model,quantization,prompt_id,category,latency_ms,tokens_per_second,token_count,gpu_memory_used_mb,gpu_peak_mb,gpu_utilization,cpu_usage_percent,success
deepseek-q4,Q4_0,quant_001,コード生成,13166.74542427063,5.9240151978802915,78,6101,6101,95,8.15,True
deepseek-q8,Q8_0,quant_001,コード生成,19753.51309776306,3.391801735134762,67,9219,9219,97,3.0,True
deepseek-q4,Q4_0,quant_002,技術解説,21723.67572784424,0.7825563322237551,17,6101,9219,96,22.65,True
deepseek-q8,Q8_0,quant_002,技術解説,32519.911289215088,0.861010958824046,28,9219,9219,97,18.45,True
deepseek-q4,Q4_0,quant_003,数学・論理,15674.798250198364,4.27437718371604,67,6101,9219,93,2.5,True
deepseek-q8,Q8_0,quant_003,数学・論理,24823.72260093689,2.779599220843526,69,9219,9219,97,11.1,True
deepseek-q4,Q4_0,quant_004,問題解決,9936.072826385498,0.6038603082766105,6,6101,9219,93,20.6,True
deepseek-q8,Q8_0,quant_004,問題解決,41948.442459106445,0.405259385174372,17,9219,9219,97,3.6500000000000004,True
deepseek-fp16,FP16,quant_001,コード生成,15321.297407150269,6.00471341004481,92,6101,6101,95,10.8,True
deepseek-q8,Q8_0,quant_001,コード生成,21908.27775001526,3.697232659009154,81,9219,9219,96,8.75,True
deepseek-q4,Q4_0,quant_001,コード生成,10808.048725128174,4.903752874168456,53,6101,9219,95,6.2,True
deepseek-fp16,FP16,quant_002,技術解説,18451.25961303711,1.4633147311483605,27,6101,6101,95,4.65,True
deepseek-q8,Q8_0,quant_002,技術解説,31909.953117370605,0.6267636911416437,20,9219,9219,97,12.9,True
deepseek-q4,Q4_0,quant_002,技術解説,7513.062238693237,1.8634212728730235,14,6101,9219,95,3.2,True
deepseek-fp16,FP16,quant_003,数学・論理,10738.466501235962,10.895410437471094,117,6101,6101,94,1.5,True
deepseek-q8,Q8_0,quant_003,数学・論理,21195.200443267822,4.293424836607483,91,9219,9219,97,6.449999999999999,True
deepseek-q4,Q4_0,quant_003,数学・論理,17619.048833847046,4.199999710418102,74,6101,9219,96,9.899999999999999,True
deepseek-fp16,FP16,quant_004,問題解決,14964.499235153198,1.0023723322971883,15,6101,6101,94,6.5,True
deepseek-q8,Q8_0,quant_004,問題解決,31893.615007400513,0.5643762864706094,18,9219,9219,97,9.75,True
deepseek-q4,Q4_0,quant_004,問題解決,15643.835306167603,0.7031523782191209,11,6101,9219,95,8.65,True
